date,portfolio_value,benchmark_value,alpha,cash,positions_json
2025-11-28,10000.0,10000.0,0.0,0.0,"{""IWM"": 40.20100502512563}"
2025-12-01,0.0,0.0,0.0,0.0,"{""IWM"": 0.0}"
